Airport,POS1Lon,POS1Lat,POS13Lon,POS13Lat,POS2Lon,POS2Lat,POS3Lon,POS3Lat,POS4Lon,POS4Lat,POS5Lon,POS5Lat,POS6Lon,POS6Lat,POS7Lon,POS7Lat,POS8Lon,POS8Lat,POS9Lon,POS9Lat,POS10Lon,POS10Lat,POS11Lon,POS11Lat,POS12Lon,POS12Lat
哈尔滨/太平,34121136.71433018,6278193.966710962,34121136.71433018,6278193.966710962,34128933.0309838,6282141.914597578,34119095.19312645,6287665.42172556,34118352.31552531,6294605.560115825,34115381.918880284,6296497.241044681,34103687.443899855,6298545.4913087785,34097004.88676818,6305477.401232146,34088651.69035359,6301539.501347661,34099047.52173143,6296181.357482631,34099789.28557304,6289085.294421988,34102759.682218075,6286718.717528949,34113897.27743753,6284983.154349594
唐山/三女河,33213236.706104223,6832636.403573394,33213236.706104223,6832636.403573394,33212865.824183412,6838750.533940762,33200428.471601844,6837110.075655754,33191704.393266447,6840687.621710481,33188177.116860442,6840240.496025066,33179639.036365207,6836066.988253601,33167572.565704446,6836961.580778948,33168129.445465416,6830846.392767252,33180195.91612618,6832636.403573394,33189105.992301747,6828907.46131557,33192818.15278839,6829056.071891846,33200800.467282176,6833233.3032726105
喀什,28537303.35105513,6846797.003094516,28537303.35105513,6846797.003094516,28537860.230816104,6852455.296929423,28525237.994153894,6852008.67806714,28516884.797739297,6856176.672361288,28512800.641572323,6856324.892518807,28504076.563236922,6852752.734443289,28492010.09257616,6854092.437549181,28491082.33089438,6848137.47455607,28503704.567556594,6849179.348141421,28512057.763971187,6844710.885084106,28516141.92013816,6844562.499098729,28524865.998473562,6848137.47455607
嘉峪关,31019687.327632055,6830398.841627041,31019687.327632055,6830398.841627041,31012819.886419736,6834426.104557204,31005394.451686926,6828160.795100957,30994813.736228444,6826817.73438623,30992400.219344385,6825026.714951256,30990544.695980825,6818457.280833812,30980705.744363956,6813975.51508943,30987760.29717596,6809641.584574206,30994999.734068606,6816216.641783819,31005580.44952709,6817112.95589397,31007992.852651626,6819055.000986725,31009849.489774708,6825474.49894467
固原/六盘山,31871528.477839917,7142056.135337925,31871528.477839917,7142056.135337925,31880438.55401548,7141476.112313243,31879695.676414344,7148865.4729848355,31886378.23354602,7154078.574574534,31886378.23354602,7156249.989220597,31880809.43593629,7161604.650031835,31883593.834741153,7168980.8463785,31874869.756405752,7169414.590671064,31875983.5159277,7162038.6770750815,31868928.963115692,7156829.252056396,31868928.963115692,7154657.948873157,31874497.760725424,7149299.990231123
塔城,29354245.960402343,6197923.418592958,29354245.960402343,6197923.418592958,29348306.280871805,6202862.0626146495,29338282.44517429,6197605.042528324,29326215.97451353,6197605.042528324,29323060.69378786,6196489.203185329,29319162.535461053,6189793.169878144,29306540.298798837,6186283.411116771,29312479.978329375,6181336.598723558,29322503.81402689,6186603.1459939685,29334569.170928128,6186603.1459939685,29337725.565413322,6187719.256893655,29341994.60566094,6194416.835843828
大同/云冈,32707033.003379878,6811285.518681945,32707033.003379878,6811285.518681945,32700722.44192853,6815469.952565079,32692740.127434745,6809790.473227968,32681788.530055456,6808893.52099338,32678818.133410424,6807249.2042827215,32676776.612206697,6800967.3389951475,32666009.89890805,6796776.991734734,32672692.456039723,6792136.609658893,32680674.770533506,6798273.933348723,32691069.488151826,6798722.8834210485,32694039.884796858,6800368.566287845,32696638.285761554,6807099.381661686
大庆/萨尔图,33999550.92859793,6197285.699055266,33999550.92859793,6197285.699055266,33989713.09074058,6199357.405288941,33986557.8100149,6191706.831608056,33975977.09455642,6187560.367932662,33974491.33935414,6185804.7447942365,33977275.73815901,6178941.690507077,33970222.29910653,6171592.99020255,33980060.136963874,6169195.473970279,33983401.41552971,6177184.378705338,33993982.130988196,6181176.63880004,33995281.88835031,6183252.064691879,33992497.48954544,6189952.976238623
大连/周水子,33607507.57687302,6900133.392181218,33607507.57687302,6900133.392181218,33606579.81519124,6906059.717415011,33594699.342370644,6904133.827588247,33585604.38211443,6907688.494798807,33580963.34618649,6907244.226971748,33573353.02737303,6903096.527342964,33561101.67263163,6903244.973318169,33561658.5523926,6897465.589951785,33573909.907134004,6899540.309319891,33583004.867390215,6895982.888543671,33587459.905478,6896427.631982004,33595256.22213162,6900874.03192291
天津/滨海,33133788.89812527,6898799.57566323,33133788.89812527,6898799.57566323,33125621.699550837,6901615.508564242,33122094.423144832,6894056.04253068,33112441.46936813,6891089.467570832,33110770.83008521,6888271.601684399,33112627.467208296,6881741.139381535,33105758.912236456,6875653.118444776,33113927.22457041,6873127.951144239,33117825.38289722,6880404.982766349,33126920.343153425,6883374.581881162,33129147.862197317,6886193.763993723,33126920.343153425,6892721.454458132
